class_name,train,valid,test,total
Candyapple,1050,225,225,1500
Namwa,1050,225,225,1500
Namwadam,1050,225,225,1500
Homthong,1050,225,225,1500
Nak,1050,225,225,1500
Thepphanom,1050,225,225,1500
Kai,1050,225,225,1500
Lepchanggud,1050,225,225,1500
Ngachang,1050,225,225,1500
Huamao,1050,225,225,1500
Total,10500,2250,2250,15000
